Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to11,Feature log2 fold change topic 6to11
ENSG00000170396,ZNF804A,16,-0.1932,34,1.05248,28,0.68505,4,-2.0904,17,-0.2397
ENSG00000065548,ZC3H15,303,-0.1668,402,0.30214,506,0.67817,192,-0.8549,327,-0.0626
ENSG00000138448,ITGAV,101,1.61786,13,-1.8447,42,-0.1272,71,0.72871,28,-1.2110
ENSG00000144369,FAM171B,42,-1.5636,124,0.17498,225,1.17804,88,-0.3655,116,0.15592
ENSG00000144366,GULP1,6,-1.8353,22,0.25379,39,1.18818,11,-0.8348,21,0.29899
ENSG00000115368,WDR75,42,1.31551,29,0.46791,23,0.13541,11,-1.0086,15,-0.9935
ENSG00000138381,ASNSD1,29,-0.3542,28,-0.3881,21,-0.8019,13,-1.5277,46,0.91260
ENSG00000128699,ORMDL1,40,-0.2213,10,-2.1922,22,-1.1231,56,0.32232,56,0.71617
ENSG00000064933,PMS1,27,0.62656,16,-0.2859,37,1.08966,21,0.16308,13,-0.8927
ENSG00000198130,HIBCH,53,1.11849,25,-0.2530,33,0.18973,32,0.12656,21,-0.8701
ENSG00000151689,INPP1,83,1.30748,19,-1.1767,20,-1.1356,40,-0.0852,37,-0.4183
ENSG00000151690,MFSD6,144,0.32774,75,-0.7239,177,0.62981,62,-1.0211,120,-0.0091
ENSG00000138386,NAB1,28,0.71184,8,-1.3340,31,0.80526,15,-0.3804,16,-0.4079
ENSG00000115419,GLS,41,-1.9542,69,-1.0727,223,0.76881,53,-1.4740,184,1.09991
ENSG00000115415,STAT1,19,-0.9015,13,-1.4155,31,-0.1020,43,0.42751,40,0.65407
ENSG00000144339,TMEFF2,66,-0.0444,14,-2.3506,73,0.11814,30,-1.2255,83,0.72341
ENSG00000196950,SLC39A10,62,-1.5727,164,0.01319,380,1.43022,60,-1.5052,176,0.27703
ENSG00000138411,HECW2,48,1.39039,17,-0.5053,44,0.98735,3,-2.8216,17,-0.9285
ENSG00000119041,GTF3C3,31,0.82365,9,-1.2321,17,-0.2669,20,-0.0448,19,-0.1950
ENSG00000197121,PGAP1,15,-1.1471,19,-0.7145,83,1.70626,17,-0.8486,31,0.04242
ENSG00000115524,SF3B1,152,0.68622,72,-0.5911,130,0.34158,105,0.00069,90,-0.4308
ENSG00000115520,COQ10B,13,-0.9687,19,-0.2749,32,0.52024,28,0.28155,25,0.24947
ENSG00000144381,HSPD1,246,0.14477,278,0.32758,242,0.10504,214,-0.0916,211,-0.2147
ENSG00000115541,HSPE1,152,-0.8368,129,-1.0142,54,-2.2970,224,-0.1685,339,1.24999
ENSG00000115540,MOB4,24,-0.8588,23,-0.8270,58,0.61782,36,-0.1419,45,0.45147
ENSG00000162944,RFTN2,52,2.51325,7,-1.1937,9,-0.9812,21,0.37255,7,-1.9573
ENSG00000115896,PLCL1,135,2.47987,31,-0.5278,68,0.69025,5,-3.2266,18,-1.9889
ENSG00000119042,SATB2,25,-0.1187,14,-0.9445,46,0.87062,6,-2.1858,30,0.34976
ENSG00000225953,SATB2-AS1,2,-2.8021,4,-1.8372,18,0.38051,5,-1.4228,21,1.65500
ENSG00000178074,C2orf69,35,-0.4103,31,-0.5408,115,1.61513,25,-0.8987,41,-0.2225
ENSG00000162971,TYW5,22,0.85814,10,-0.4147,11,-0.2810,10,-0.4861,13,-0.2607
ENSG00000162972,MAIP1,3,-2.4196,6,-1.3072,4,-1.9209,20,0.38898,22,1.56098
ENSG00000196141,SPATS2L,72,-0.4158,157,0.88388,85,-0.1146,35,-1.4747,97,0.21535
ENSG00000082153,BZW1,86,-0.0394,73,-0.2873,99,0.18740,96,0.14699,88,-0.0052
ENSG00000013441,CLK1,135,1.95101,18,-1.6423,43,-0.3180,42,-0.3536,35,-1.0932
ENSG00000240344,PPIL3,24,0.61819,12,-0.5462,8,-1.0985,14,-0.2993,17,0.09542
ENSG00000196290,NIF3L1,9,-0.6586,1,-3.2089,6,-1.1376,15,0.10799,18,1.13653
ENSG00000155744,FAM126B,40,-0.3411,70,0.57970,151,1.95592,7,-2.7590,38,-0.6893
ENSG00000119013,NDUFB3,50,-2.0446,85,-1.1447,32,-2.5735,160,-0.1828,267,1.81144
ENSG00000003402,CFLAR,150,2.66588,40,-0.2358,37,-0.3333,50,0.12602,14,-2.6055
ENSG00000115993,TRAK2,112,1.58338,40,-0.3468,69,0.49137,31,-0.7592,32,-1.1667
ENSG00000082146,STRADB,13,-0.0975,4,-1.8355,19,0.58561,9,-0.6025,15,0.37316
ENSG00000155755,TMEM237,18,-0.5069,25,0.04273,31,0.39782,27,0.17409,24,0.04734
ENSG00000003393,ALS2,24,0.36372,8,-1.3127,21,0.15455,8,-1.3480,21,0.32785
ENSG00000116030,SUMO1,62,-1.1163,91,-0.4453,56,-1.1915,78,-0.6741,164,1.22867
ENSG00000055044,NOP58,153,1.32533,67,-0.2248,72,-0.1099,38,-1.0904,62,-0.6471
ENSG00000204217,BMPR2,57,-1.1804,159,0.51567,256,1.32610,84,-0.4941,110,-0.1540
ENSG00000163596,ICA1L,61,0.18247,54,-0.0198,100,0.97246,31,-0.8893,50,-0.3001
ENSG00000138442,WDR12,17,-0.5526,31,0.43563,49,1.21898,14,-0.7902,22,-0.2295
ENSG00000138380,CARF,32,1.61816,22,0.69273,22,0.68338,3,-2.0765,7,-1.5283
ENSG00000138443,ABI2,213,-0.0316,199,-0.1357,461,1.25540,131,-0.7870,195,-0.3178
ENSG00000173166,RAPH1,13,-0.6699,10,-1.0376,41,1.18116,4,-2.1551,23,0.46897
ENSG00000118257,NRP2,11,-0.5956,19,0.25674,25,0.70833,11,-0.5124,16,0.07970
ENSG00000114933,INO80D,52,2.29077,17,-0.0581,21,0.24173,7,-1.2846,8,-1.8768
ENSG00000023228,NDUFS1,115,-0.1499,121,-0.0546,211,0.84768,69,-0.9178,125,-0.0170
ENSG00000114942,EEF1B2,446,-0.0296,372,-0.3114,179,-1.4204,788,0.90643,460,0.04266
ENSG00000204186,ZDBF2,16,-1.2388,37,0.07658,119,2.15182,21,-0.7718,29,-0.5201
ENSG00000114948,ADAM23,16,-2.0338,18,-1.6731,96,0.88043,11,-2.4439,77,1.28070
ENSG00000118246,FASTKD2,27,-0.1920,36,0.30474,57,1.05202,30,-0.0160,25,-0.4625
ENSG00000118263,KLF7,80,1.79301,27,-0.3359,57,0.87967,25,-0.4430,16,-1.7154
ENSG00000118260,CREB1,50,1.13604,38,0.52580,65,1.42427,19,-0.5520,13,-1.6938
ENSG00000144401,METTL21A,11,-0.5795,7,-1.2384,14,-0.2530,25,0.69919,18,0.39924
ENSG00000178385,PLEKHM3,28,-0.0265,40,0.54343,81,1.76379,13,-1.1470,21,-0.8660
ENSG00000188674,C2orf80,11,-3.1373,56,-0.6652,51,-0.8084,54,-0.7160,128,1.77928
ENSG00000115020,PIKFYVE,33,1.17645,10,-0.7958,43,1.50018,5,-1.6937,11,-1.0886
ENSG00000078018,MAP2,352,-2.4163,4560,1.80102,3045,1.06059,530,-1.6904,1467,-0.2689
ENSG00000144406,UNC80,31,-1.9601,213,1.18518,272,1.63292,68,-0.6596,89,-0.4685
ENSG00000197713,RPE,14,-0.3669,9,-0.9840,10,-0.8835,7,-1.3608,24,1.07099
ENSG00000115365,LANCL1,197,0.87667,38,-1.7825,167,0.48461,79,-0.6943,113,-0.2571
ENSG00000178568,ERBB4,31,-0.3194,76,1.14056,78,1.19582,12,-1.7165,31,-0.5392
ENSG00000144451,SPAG16,68,0.79488,47,0.11654,50,0.18812,55,0.35633,33,-0.7990
ENSG00000138363,ATIC,33,-0.0665,30,-0.2383,25,-0.4790,39,0.20204,37,0.18303
ENSG00000115414,FN1,56,1.04703,18,-0.8744,5,-2.6267,124,2.39602,16,-1.6774
ENSG00000079246,XRCC5,110,0.14245,46,-1.2113,119,0.25863,62,-0.7556,111,0.31507
ENSG00000260804,LINC01963,10,-1.6847,33,0.26612,37,0.46205,14,-1.0084,34,0.69114
ENSG00000197756,RPL37A,2709,-0.0146,2497,-0.1419,965,-1.5917,4897,0.96102,2712,-0.0228
ENSG00000115461,IGFBP5,269,1.82293,64,-0.8378,100,-0.1535,205,1.01034,52,-1.7968
ENSG00000079308,TNS1,84,2.81886,2,-3.3932,14,-0.8238,54,1.30401,5,-3.0249
ENSG00000163466,ARPC2,137,-1.0247,207,-0.3186,226,-0.1843,217,-0.2462,312,0.74996
ENSG00000127837,AAMP,57,-0.4050,65,-0.1758,63,-0.2138,54,-0.4685,84,0.49362
ENSG00000127838,PNKD,67,-1.2623,103,-0.5167,66,-1.1777,163,0.20098,185,0.99014
ENSG00000135926,TMBIM1,40,1.00311,11,-1.1103,4,-2.4059,75,2.02016,14,-1.2168
ENSG00000144579,CTDSP1,31,0.93891,12,-0.6509,14,-0.4749,57,1.91713,10,-1.4845
ENSG00000144580,CNOT9,17,-0.4546,14,-0.6724,27,0.30872,37,0.81131,22,-0.0204
ENSG00000074582,BCS1L,8,-1.1942,18,0.01228,4,-2.2019,16,-0.0860,23,1.04628
ENSG00000163481,RNF25,10,-1.2777,11,-0.9401,31,0.56705,15,-0.5667,27,0.78636
ENSG00000135929,CYP27A1,78,2.78169,3,-2.8186,4,-2.4425,39,0.84097,9,-2.1606
ENSG00000171450,CDK5R2,13,-2.7773,62,-0.3133,132,0.90729,56,-0.4656,93,0.74995
ENSG00000115649,CNPPD1,35,1.09665,6,-1.7496,11,-0.9181,39,1.10993,15,-0.7216
ENSG00000144567,RETREG2,82,-0.8654,84,-0.7580,150,0.14227,98,-0.5277,169,0.76648
ENSG00000158552,ZFAND2B,24,-0.6203,20,-0.8429,21,-0.7539,38,0.15031,43,0.72628
ENSG00000115657,ABCB6,21,-0.6861,8,-1.9617,32,0.05758,22,-0.5134,40,0.91757
ENSG00000198925,ATG9A,34,-0.9498,49,-0.2951,61,0.04030,44,-0.4764,72,0.70144
ENSG00000163516,ANKZF1,41,1.64421,7,-1.4534,16,-0.1469,9,-1.0450,14,-0.6942
ENSG00000115661,STK16,15,-0.6362,25,0.17540,14,-0.6737,15,-0.5626,26,0.63665
ENSG00000127824,TUBA4A,57,-2.7799,145,-1.2807,385,0.22031,249,-0.4641,465,1.37783
ENSG00000135924,DNAJB2,323,1.17088,106,-0.7830,170,-0.0587,179,0.02616,139,-0.6603
ENSG00000054356,PTPRN,35,-2.7604,82,-1.3916,245,0.29421,109,-0.9681,290,1.51027
ENSG00000123992,DNPEP,12,-0.8051,50,1.56072,4,-2.3154,25,0.37601,19,-0.1197
ENSG00000072195,SPEG,10,-0.8624,21,0.28974,26,0.64306,20,0.18883,18,-0.0040
ENSG00000144591,GMPPA,24,0.82612,14,-0.1198,12,-0.3613,11,-0.5404,14,-0.2829
ENSG00000123989,CHPF,28,-1.0336,25,-1.1261,66,0.37809,50,-0.0741,63,0.67149
ENSG00000124006,OBSL1,17,-1.6302,32,-0.6278,37,-0.3869,63,0.45058,60,0.83087
ENSG00000114923,SLC4A3,18,-1.6452,61,0.32036,74,0.63683,21,-1.2841,60,0.62155
ENSG00000116106,EPHA4,15,-2.6903,69,-0.3491,189,1.29808,38,-1.2588,105,0.67112
ENSG00000163082,SGPP2,8,-0.8164,8,-0.8874,26,0.99649,17,0.29550,14,0.09086
ENSG00000116120,FARSB,30,-1.2743,49,-0.4633,53,-0.3283,45,-0.5844,86,1.04238
ENSG00000123983,ACSL3,103,-0.3725,131,0.04642,249,1.10632,55,-1.2723,127,-0.0143
ENSG00000171951,SCG2,93,-1.9417,177,-0.8737,324,0.06360,168,-0.9573,429,1.32169
ENSG00000085449,WDFY1,23,-0.1162,13,-0.9315,54,1.31365,24,-0.0519,22,-0.3035
ENSG00000135900,MRPL44,7,-2.0357,21,-0.3058,45,0.90732,15,-0.8496,32,0.71474
ENSG00000135919,SERPINE2,46,-1.3982,128,0.25312,125,0.20791,198,0.98040,110,0.01148
ENSG00000036257,CUL3,58,-0.3309,52,-0.4894,62,-0.2084,42,-0.8041,84,0.62714
ENSG00000135905,DOCK10,128,3.52894,4,-3.1114,11,-1.5238,8,-2.0446,12,-2.1590
ENSG00000168958,MFF,68,-0.4731,44,-1.1082,66,-0.4812,93,0.05513,108,0.67277
ENSG00000173744,AGFG1,57,0.36524,10,-2.3102,77,0.80032,37,-0.3696,46,-0.0460
ENSG00000153820,SPHKAP,8,-1.3786,8,-1.4029,42,1.21788,15,-0.3837,23,0.47350
ENSG00000153823,PID1,4,-3.3591,36,-0.1912,36,-0.1839,29,-0.5188,56,1.33834
ENSG00000187957,DNER,173,0.63924,76,-0.7261,92,-0.4394,144,0.26938,114,-0.2074
ENSG00000153827,TRIP12,99,0.21442,75,-0.2433,129,0.61658,43,-1.0931,87,-0.0351
ENSG00000163053,SLC16A14,5,-1.5535,6,-1.1762,20,0.59387,7,-1.1071,18,1.04100
ENSG00000135899,SP110,66,3.17700,21,0.26618,10,-0.7751,18,0.04929,2,-3.8686
ENSG00000135932,CAB39,54,-0.8693,68,-0.4492,95,0.06700,46,-1.0587,114,0.84221
ENSG00000135916,ITM2C,150,-1.4403,268,-0.4619,178,-1.0908,694,1.08349,421,0.54781
ENSG00000204128,C2orf72,35,-0.0368,29,-0.3157,39,0.12953,41,0.22061,36,-0.0048
ENSG00000173692,PSMD1,216,0.05096,184,-0.2077,306,0.60556,149,-0.5392,207,-0.0506
ENSG00000135931,ARMC9,10,-0.5531,17,0.28013,10,-0.5395,12,-0.2836,16,0.44264
ENSG00000115053,NCL,1101,1.57125,738,0.62135,565,0.18455,234,-1.1800,299,-1.3198
ENSG00000187514,PTMA,4972,2.34147,1316,-0.4076,1028,-0.7863,1488,-0.2158,832,-1.7264
ENSG00000156973,PDE6D,18,-0.5679,16,-0.6611,4,-2.6305,31,0.37116,31,0.82273
ENSG00000144524,COPS7B,13,-0.4127,14,-0.3142,26,0.65219,8,-1.1455,19,0.34269
ENSG00000144535,DIS3L2,36,1.88809,14,-0.0062,19,0.48041,6,-1.3174,7,-1.5052
ENSG00000135930,EIF4E2,49,0.14204,71,0.72070,63,0.52427,28,-0.7141,40,-0.3877
ENSG00000115468,EFHD1,212,2.72826,18,-1.9444,15,-2.1721,112,0.90679,23,-2.2673
ENSG00000204120,GIGYF2,191,1.46247,100,0.14776,141,0.70349,82,-0.1608,50,-1.4970
ENSG00000182600,SNORC,189,0.65525,116,-0.1996,35,-1.9957,496,2.36778,71,-1.5146
ENSG00000066248,NGEF,21,-3.0647,56,-1.4758,150,0.02363,91,-0.7575,215,1.65982
ENSG00000085978,ATG16L1,13,-0.0514,9,-0.6487,8,-0.7972,6,-1.2138,17,0.74386
ENSG00000077044,DGKD,32,1.46228,3,-2.3417,21,0.51395,17,0.16635,10,-0.9998
ENSG00000085982,USP40,94,2.90686,32,0.28735,26,-0.0459,18,-0.6305,5,-3.1753
ENSG00000188042,ARL4C,22,-1.8038,112,0.84000,106,0.73695,30,-1.2501,75,0.35285
ENSG00000157985,AGAP1,249,1.34780,230,1.00326,168,0.47798,73,-0.8258,68,-1.5123
ENSG00000132321,IQCA1,62,0.20801,135,1.51329,71,0.41308,58,0.07242,36,-1.0867
ENSG00000198612,COPS8,37,-1.5123,56,-0.7962,93,-0.0058,59,-0.7210,124,1.13921
ENSG00000124831,LRRFIP1,84,0.12531,133,0.87477,98,0.36019,62,-0.3638,66,-0.4706
ENSG00000132329,RAMP1,46,-1.4476,137,0.32456,66,-0.8150,295,1.64918,107,-0.1427
ENSG00000184182,UBE2F,34,-0.6295,39,-0.3500,40,-0.2893,32,-0.6540,60,0.73436
ENSG00000132323,ILKAP,40,0.00117,10,-2.0929,42,0.08896,32,-0.3444,45,0.48017
ENSG00000144485,HES6,43,0.71798,41,0.55785,6,-2.2620,31,0.13108,26,-0.3503
ENSG00000204104,TRAF3IP1,55,0.60679,72,0.97352,79,1.15516,31,-0.3675,24,-1.2916
ENSG00000065802,ASB1,27,-0.4373,57,0.76714,52,0.61372,37,0.04006,32,-0.3343
ENSG00000068024,HDAC4,24,0.31231,8,-1.3246,36,0.93678,27,0.48625,17,-0.4838
ENSG00000130414,NDUFA10,116,-0.3146,96,-0.5758,174,0.36229,105,-0.4360,154,0.33883
ENSG00000172428,COPS9,204,-1.4208,407,-0.2777,182,-1.5009,649,0.46781,616,0.90164
ENSG00000063660,GPC1,40,-1.2117,94,0.19778,119,0.58768,80,-0.0491,90,0.26673
ENSG00000188542,DUSP28,7,-1.7950,17,-0.3319,13,-0.7478,34,0.74492,26,0.73575
ENSG00000142327,RNPEPL1,20,0.25947,21,0.32348,12,-0.5241,18,0.09928,16,-0.1655
ENSG00000130294,KIF1A,313,-0.4052,507,0.39391,593,0.65353,303,-0.4209,389,-0.0621
ENSG00000122085,MTERF4,42,0.68938,9,-1.7643,21,-0.4884,37,0.40330,28,-0.1229
ENSG00000115685,PPP1R7,69,-1.3262,146,-0.0903,96,-0.7303,116,-0.4465,201,1.01139
ENSG00000115677,HDLBP,130,-0.2012,124,-0.2484,166,0.20879,140,-0.0601,152,0.13917
ENSG00000168385,SEPTIN2,336,1.50913,144,-0.1387,89,-0.8859,293,1.02356,89,-1.4241
ENSG00000115694,STK25,67,-0.9689,78,-0.6785,139,0.22736,99,-0.3073,146,0.69178
ENSG00000176720,BOK,193,3.28283,13,-2.0638,22,-1.2803,33,-0.6932,18,-2.3082
ENSG00000176946,THAP4,18,-1.1705,25,-0.6534,47,0.34212,41,0.12207,44,0.56529
ENSG00000168397,ATG4B,40,-0.2673,35,-0.4591,42,-0.1612,36,-0.4066,53,0.46838
ENSG00000168395,ING5,37,0.06482,57,0.75999,46,0.42025,34,-0.0635,30,-0.4872
ENSG00000180902,D2HGDH,25,0.63873,15,-0.2778,22,0.33539,1,-3.3257,17,-0.0035
ENSG00000134121,CHL1,39,-2.1764,96,-0.7295,382,1.54533,57,-1.5153,179,0.54539
ENSG00000144619,CNTN4,4,-2.5979,40,0.92079,49,1.27982,5,-2.2126,24,0.25564
ENSG00000113851,CRBN,64,-0.1228,38,-0.9296,96,0.53125,29,-1.2954,78,0.41396
ENSG00000150995,ITPR1,45,-2.0334,212,0.46251,315,1.13316,119,-0.4568,169,0.20032
ENSG00000134107,BHLHE40,5,-1.8150,15,-0.1736,19,0.25276,20,0.26395,20,0.60155
ENSG00000134108,ARL8B,62,-0.8897,71,-0.6159,160,0.66698,79,-0.4611,122,0.48572
ENSG00000196220,SRGAP3,42,0.02161,52,0.35517,67,0.78835,22,-0.9242,38,-0.2330
ENSG00000206573,THUMPD3-AS1,41,0.92565,19,-0.4109,32,0.38821,15,-0.7657,21,-0.4830
ENSG00000134077,THUMPD3,33,0.35505,33,0.33714,36,0.45160,13,-1.0541,25,-0.2614
ENSG00000168137,SETD5,106,1.26041,122,1.31575,91,0.80719,11,-2.4174,29,-1.5831
ENSG00000156959,LHFPL4,9,-1.4404,15,-0.6511,56,1.47018,10,-1.3118,26,0.37492
ENSG00000163719,MTMR14,12,-0.1213,7,-1.0194,12,-0.0958,18,0.45453,14,0.18647
ENSG00000114026,OGG1,21,0.31459,14,-0.2705,9,-0.9691,26,0.63911,17,-0.1269
ENSG00000134072,CAMK1,21,-2.0712,50,-0.6415,34,-1.2207,81,0.09071,105,1.33855
ENSG00000171148,TADA3,51,-0.8389,80,-0.0654,50,-0.8016,87,0.06340,100,0.65166
ENSG00000241553,ARPC4,76,-0.6632,76,-0.5909,172,0.69871,85,-0.4229,124,0.35587
ENSG00000214021,TTLL3,38,1.70178,20,0.35228,7,-1.1688,18,0.15270,9,-1.3202
ENSG00000156990,RPUSD3,24,-0.9067,35,-0.3108,26,-0.7695,23,-0.9257,55,1.05697
ENSG00000171135,JAGN1,18,-0.0754,10,-0.9823,13,-0.4899,6,-1.5566,23,0.81320
ENSG00000163703,CRELD1,22,-1.1664,19,-1.3473,42,-0.1282,16,-1.5192,63,1.35728
ENSG00000163704,PRRT3,17,-0.8551,35,0.34355,38,0.49603,17,-0.7888,31,0.32000
ENSG00000125037,EMC3,64,-0.7345,70,-0.5394,73,-0.4736,69,-0.5599,126,0.87181
ENSG00000254999,BRK1,81,-1.5298,124,-0.7940,148,-0.5175,208,0.01247,271,1.07878
ENSG00000157014,TATDN2,28,-0.4585,35,-0.0959,44,0.28313,38,0.04983,39,0.16097
ENSG00000157020,SEC13,31,-0.2324,20,-0.9127,20,-0.8484,24,-0.6252,44,0.80456
ENSG00000157087,ATP2B2,20,-2.7773,96,-0.3250,257,1.29763,58,-1.0958,141,0.64696
ENSG00000157103,SLC6A1,162,0.73496,128,0.25613,86,-0.3691,121,0.17165,90,-0.5512
ENSG00000197548,ATG7,13,-0.7673,21,0.00860,28,0.47397,13,-0.7223,24,0.40671
ENSG00000144560,VGLL4,23,-0.6198,36,0.16586,46,0.53821,46,0.53618,31,-0.1513
ENSG00000157152,SYN2,33,-3.5434,253,-0.3983,668,1.19105,123,-1.4903,413,0.89483
ENSG00000075975,MKRN2,10,-0.9294,5,-1.7960,13,-0.4507,28,0.68548,22,0.69904
ENSG00000132155,RAF1,38,0.81121,12,-0.9946,15,-0.6852,33,0.49296,22,-0.3221
ENSG00000144712,CAND2,6,-1.3038,3,-2.1708,13,-0.0439,7,-0.9801,19,1.39224
ENSG00000144713,RPL32,1709,-0.2746,1990,-0.0099,887,-1.2523,2856,0.57492,2146,0.22952
ENSG00000144711,IQSEC1,68,-1.3293,197,0.41737,216,0.57056,147,-0.0504,162,0.22379
ENSG00000163517,HDAC11,141,1.45646,42,-0.7380,48,-0.5220,53,-0.3774,53,-0.6812
ENSG00000163528,CHCHD4,13,-1.1352,22,-0.2287,33,0.39709,16,-0.7375,31,0.67180
ENSG00000170876,TMEM43,23,0.64527,16,0.05193,9,-0.8025,14,-0.2117,15,-0.1796
ENSG00000154767,XPC,115,2.24838,33,-0.3349,44,0.13746,16,-1.4063,20,-1.6435
ENSG00000170860,LSM3,56,-1.2645,82,-0.5866,53,-1.2486,114,-0.0768,160,1.14218
ENSG00000154781,CCDC174,106,1.99746,71,0.91037,40,-0.0380,18,-1.2032,18,-1.9160
ENSG00000225733,FGD5-AS1,159,1.10030,88,-0.0295,85,-0.0719,86,-0.0699,68,-0.7629
ENSG00000177463,NR2C2,18,-0.5732,40,0.68260,32,0.31531,13,-1.0543,27,0.17395
ENSG00000131368,MRPS25,43,-1.0635,38,-1.1551,68,-0.2835,61,-0.4322,107,1.07109
ENSG00000131381,RBSN,55,0.02089,56,0.06608,78,0.59040,36,-0.6420,53,-0.0887
ENSG00000131370,SH3BP5,155,0.93484,71,-0.4537,133,0.55644,50,-0.9775,79,-0.5103
ENSG00000206562,METTL6,22,0.45147,19,0.19132,23,0.46793,21,0.37789,13,-0.6816
ENSG00000144597,EAF1,15,-0.2378,7,-1.2800,29,0.86818,12,-0.5366,18,0.22060
ENSG00000131373,HACL1,14,0.19406,11,-0.2249,12,-0.1041,15,0.27478,12,-0.1160
ENSG00000206560,ANKRD28,52,0.97424,29,-0.1072,39,0.35941,22,-0.5024,25,-0.6607
ENSG00000131386,GALNT15,120,2.81808,17,-1.0770,17,-1.1016,89,1.55444,4,-3.9355
ENSG00000154813,DPH3,22,0.32686,17,-0.0797,20,0.16010,15,-0.3648,18,-0.1301
ENSG00000131378,RFTN1,7,-1.6058,29,0.60141,34,0.83393,5,-2.1191,23,0.48278
ENSG00000154822,PLCL2,16,-1.0976,24,-0.4268,30,-0.0694,21,-0.5946,39,0.87498
ENSG00000131374,TBC1D5,74,0.40120,80,0.48866,67,0.20619,78,0.43847,46,-0.6856
ENSG00000182568,SATB1,37,-1.3237,65,-0.3700,187,1.36119,35,-1.2976,92,0.34099
ENSG00000183960,KCNH8,148,5.16600,7,-2.1344,8,-2.0180,0,-5.2378,3,-4.1730
ENSG00000144566,RAB5A,71,-0.2973,73,-0.2174,118,0.54571,71,-0.2645,87,0.10500
ENSG00000114166,KAT2B,90,2.15443,44,0.48043,15,-1.1654,45,0.52657,12,-2.1601
ENSG00000151789,ZNF385D,18,-1.1295,90,1.51549,74,1.16023,21,-0.8724,30,-0.5467
ENSG00000182247,UBE2E2,31,-1.0376,34,-0.7980,81,0.55348,35,-0.7453,70,0.71751
ENSG00000170142,UBE2E1,59,0.26428,27,-0.9792,29,-0.8643,64,0.35957,54,0.17467
ENSG00000197885,NKIRAS1,17,-2.0138,42,-0.5512,60,0.00241,23,-1.4258,84,1.37651
ENSG00000174748,RPL15,702,-0.6090,760,-0.4370,450,-1.2363,1258,0.36087,1196,0.62705
ENSG00000174738,NR1D2,34,0.55605,19,-0.3917,40,0.77204,18,-0.5098,21,-0.4280
ENSG00000151090,THRB,27,-1.7957,106,0.38616,228,1.73068,26,-1.7503,83,0.00438
ENSG00000077097,TOP2B,167,0.63784,106,-0.1685,141,0.28579,66,-0.8983,109,-0.2527
ENSG00000151092,NGLY1,21,0.49555,11,-0.5692,10,-0.6495,15,-0.0214,16,0.01878
ENSG00000033867,SLC4A7,36,-0.6877,172,1.98371,139,1.57222,16,-1.8331,34,-1.2273
ENSG00000187118,CMC1,21,-0.9492,13,-1.6270,11,-1.7799,43,0.21769,50,1.19367
ENSG00000163512,AZI2,70,-0.1695,73,-0.0945,92,0.27006,93,0.29225,75,-0.0741
ENSG00000163527,STT3B,49,0.17126,25,-0.8913,58,0.40886,30,-0.5906,47,0.13903
ENSG00000152642,GPD1L,21,-0.9564,19,-1.0017,49,0.43082,34,-0.1240,44,0.61014
ENSG00000144635,DYNC1LI1,40,-0.7571,41,-0.6387,57,-0.1391,52,-0.2704,76,0.71734
ENSG00000170266,GLB1,5,-1.7261,8,-0.9517,11,-0.4185,8,-0.9452,21,1.47139
ENSG00000170275,CRTAP,88,1.24578,39,-0.2451,38,-0.3209,86,1.01865,28,-1.2556
ENSG00000153558,FBXL2,12,-1.8407,20,-0.9313,29,-0.3800,8,-2.2202,54,1.73152
ENSG00000153560,UBP1,19,-0.8674,28,-0.2156,52,0.73509,33,-0.0030,35,0.19495
ENSG00000163539,CLASP2,256,0.84556,91,-0.9034,218,0.46955,94,-0.8525,146,-0.3220
ENSG00000170248,PDCD6IP,60,0.47271,34,-0.4886,52,0.19449,20,-1.3012,47,0.06206
ENSG00000172995,ARPP21,62,-1.3882,194,0.46563,259,0.94561,79,-0.9371,157,0.25775
ENSG00000178567,EPM2AIP1,76,0.58571,54,-0.0438,127,1.39435,24,-1.2516,42,-0.7701
ENSG00000076242,MLH1,23,0.16917,13,-0.6746,14,-0.6162,31,0.63291,21,0.00105
ENSG00000093167,LRRFIP2,98,1.78469,40,-0.0510,53,0.42522,17,-1.3627,24,-1.3338
ENSG00000144674,GOLGA4,1123,2.61847,503,0.56958,400,0.19864,115,-1.7160,104,-2.6427
ENSG00000144677,CTDSPL,12,-0.8035,29,0.61490,40,1.15505,40,1.14060,14,-0.8994
ENSG00000060971,ACAA1,53,-0.1729,33,-0.8863,42,-0.5203,66,0.18661,66,0.42280
ENSG00000172939,OXSR1,36,1.30938,16,-0.2002,35,1.07145,10,-0.8988,11,-1.2185
ENSG00000114742,WDR48,46,0.35083,39,0.06068,66,0.91813,21,-0.9065,33,-0.4065
ENSG00000114745,GORASP1,31,0.14888,12,-1.2791,8,-1.8095,77,1.70285,25,-0.3241
ENSG00000144659,SLC25A38,7,-1.2479,5,-1.6775,30,1.05811,2,-2.8792,20,0.94823
ENSG00000168028,RPSA,684,-0.0798,635,-0.1890,356,-1.0765,926,0.41547,764,0.21851
ENSG00000168314,MOBP,7322,4.99762,465,-1.8029,469,-1.7916,394,-2.0491,122,-4.7065
ENSG00000170011,MYRIP,33,-0.5411,50,0.15271,63,0.52224,17,-1.4909,50,0.36736
